ID;Distributor Name;Location;Car Name;Manufacturer Name;Car Type;Color;Gearbox;Number of Seats;Number of Doors;Energy;Manufactured Year;Price-$;Mileage-KM;Engine Power-HP;Purchased Date;Car Sale Status;Sold Date;Purchased Price-$;Sold Price-$;Margin-%;Sales Agent Name;Sales Rating;Sales Commission-$;Feedback
V9334U;Skipper;Columbus;Yodha;Tata;Truck;Black;Manual;3;2;Electric;2023;8600;1067;100;21/03/2020;Un Sold;01/01/1970;7442;0;0;Sai;1;0;Good
A2LAEY;Automart;Oklahoma;Seltos;Kia;Hatchback;Blue;Automatic;5;5;Petrol;2022;6200;1069;150;29/09/2024;Un Sold;01/01/1970;5564;0;0;Pavan;4;0;Excellent
4P1TCP;Automart;Philadelphia;Hilux;Toyota;Truck;Red;Manual;4;2;Petrol;2017;7700;1087;200;05/04/2015;Un Sold;01/01/1970;6731;0;0;Karan;1;0;Excellent
6MI2ZA;Carmudi;Tucson;Hilux;Toyota;Truck;Red;Automatic;4;2;Petrol;2019;7500;1088;200;14/10/2016;Sold;18/07/2023;5529;5023;-9;Rithvik;5;0;Excellent
P3RAZ2;APE;New York;Yodha;Tata;Truck;Gray;Automatic;3;2;Diesel;2022;7300;1089;100;08/05/2024;Sold;07/07/2024;5773;6674;16;Preeti;2;180;Average
SOWN8K;Trivett;Madison;Dzire;Maruti;Sedan;Gray;Manual;5;5;Petrol;2015;7400;1091;100;18/11/2016;Sold;05/09/2021;5967;4809;-19;Shruthi;5;0;Good
SVMV0L;Carmix;Tennessee;Plato;Prazo;Convertible;Blue;Automatic;2;2;Hybrid;2016;10300;1100;250;20/02/2020;Un Sold;01/01/1970;9638;0;0;Arjuna;4;0;Good
55UIBM;Knox;North Carolina;Etriga;Maruti;Hatchback;Blue;Manual;4;5;Petrol;2017;6700;1120;103;30/07/2018;Un Sold;01/01/1970;4788;0;0;Shailaja;3;0;Good
959UJH;Olx;Chicago;Seltos;Kia;Hatchback;Red;Automatic;5;5;Petrol;2020;6400;1123;150;06/04/2019;Un Sold;01/01/1970;5585;0;0;Rithvik;1;0;Good
QN6QL0;Carro;Florida;Hilux;Toyota;Truck;Blue;Automatic;4;2;Electric;2016;9300;1135;200;25/08/2019;Un Sold;01/01/1970;8750;0;0;Supriya;4;0;Poor
OYGSZP;Knox;North Carolina;Scorpio;Mahindra;SUV;Gray;Automatic;5;5;Hybrid;2022;8700;1138;120;08/03/2020;Un Sold;01/01/1970;7485;0;0;Sweta;5;0;Average
SEPIXW;Zupps;Texas;Dzire;Maruti;Sedan;Black;Automatic;5;5;Petrol;2023;6600;1155;100;27/07/2018;Un Sold;01/01/1970;5431;0;0;Aditya;4;0;Average
9GUB6B;Ahg;North Carolina;Etriga;Maruti;Hatchback;White;Manual;4;5;Hybrid;2020;7400;1161;103;14/06/2020;Sold;24/08/2023;5497;6903;26;Supriya;4;281;Poor
QCCORH;Kamkar;Denver;Creta;Hyundai;Hatchback;Blue;Manual;5;5;Electric;2015;8400;1161;113;05/01/2015;Un Sold;01/01/1970;7274;0;0;Pavan;4;0;Good
LJ8YIB;Oto;Utah;Creta;Hyundai;Hatchback;Blue;Automatic;5;5;Hybrid;2017;7700;1164;113;13/04/2020;Un Sold;01/01/1970;6153;0;0;Karan;5;0;Excellent
ZM4BBK;Carmix;Utah;Thar;Mahindra;SUV;Blue;Automatic;5;3;Diesel;2018;8200;1171;130;26/10/2019;Un Sold;01/01/1970;7676;0;0;Shruthi;1;0;Excellent
FKHFLB;Carsome;Denver;Hilux;Toyota;Truck;White;Manual;4;2;Diesel;2023;7200;1193;200;27/03/2016;Sold;20/11/2018;6377;6791;6;Dhruv;2;83;Excellent
5L3DNZ;Kamkar;Chicago;Scorpio;Mahindra;SUV;Red;Manual;5;5;Electric;2021;9300;1195;120;26/10/2015;Un Sold;01/01/1970;8477;0;0;Bhavani;2;0;Good
4JO31Q;Carsome;Tennessee;Dzire;Maruti;Sedan;Gray;Automatic;5;5;Hybrid;2016;8300;1202;100;03/01/2017;Un Sold;01/01/1970;7712;0;0;Swapna;1;0;Average
C847J0;Kamkar;Philadelphia;i20;Hyundai;Hatchback;Black;Automatic;4;5;Hybrid;2021;7300;1203;120;02/09/2024;Un Sold;01/01/1970;5882;0;0;Krishna;3;0;Average
LBY9PY;Nufor;Tucson;Fortuner;Toyota;SUV;Black;Manual;8;5;Electric;2020;9400;1204;200;02/04/2019;Un Sold;01/01/1970;7435;0;0;Narayan;4;0;Excellent
NZN2JT;Ahg;Chicago;Yodha;Tata;Truck;Black;Automatic;3;2;Electric;2022;8700;1211;100;14/10/2016;Un Sold;01/01/1970;7677;0;0;Pavan;3;0;Good
V9CUI9;Zupps;Denver;Plato;Prazo;Convertible;Red;Manual;2;2;Electric;2021;10300;1216;250;21/09/2023;Un Sold;01/01/1970;9119;0;0;Krishna;1;0;Average
A5K3SC;Carsome;Utah;i20;Hyundai;Hatchback;Black;Automatic;4;5;Petrol;2019;6500;1219;120;11/09/2020;Un Sold;01/01/1970;5291;0;0;Shilpa;2;0;Excellent
2OUUKK;Knox;Madison;Fortuner;Toyota;SUV;Blue;Automatic;8;5;Hybrid;2015;9400;1229;200;24/06/2021;Un Sold;01/01/1970;8095;0;0;Aarush;2;0;Good
79FK3B;Marchi;Utah;Kags;Renault;SUV;Blue;Manual;7;5;Hybrid;2017;9200;1231;175;27/03/2016;Un Sold;01/01/1970;7322;0;0;Aarush;2;0;Good
X6Q5LX;Carmix;Madison;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Hybrid;2017;7700;1247;103;15/09/2016;Un Sold;01/01/1970;6624;0;0;Piyush;5;0;Excellent
2X03LV;Carousell;New York;Dzire;Maruti;Sedan;Blue;Automatic;5;5;Hybrid;2024;7500;1255;100;08/09/2020;Un Sold;01/01/1970;6767;0;0;Aarush;3;0;Excellent
5EWZUD;Trivett;Tucson;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Electric;2024;7500;1264;113;22/07/2024;Sold;05/05/2024;6225;5165;-17;Shruthi;3;0;Excellent
F1QTMB;Automart;Detroit;Hilux;Toyota;Truck;Red;Automatic;4;2;Hybrid;2019;8500;1276;200;11/12/2015;Un Sold;01/01/1970;7947;0;0;Shruthi;1;0;Excellent
TQPSW0;Olx;Tennessee;Dzire;Maruti;Sedan;Red;Automatic;5;5;Hybrid;2021;7800;1281;100;12/02/2024;Un Sold;01/01/1970;6875;0;0;Rithvik;2;0;Good
WRH3JT;Skipper;Philadelphia;Yodha;Tata;Truck;Blue;Manual;3;2;Electric;2019;9000;1289;100;07/01/2015;Sold;10/12/2023;7017;7653;9;Hariom;1;127;Good
2ZKFJO;Zupps;Portland;Kags;Renault;SUV;Gray;Automatic;7;5;Petrol;2018;8100;1298;175;29/11/2018;Un Sold;01/01/1970;7352;0;0;Shiva;3;0;Excellent
GTM7HH;Sobri;North Carolina;Kags;Renault;SUV;White;Manual;7;5;Petrol;2022;7700;1299;175;18/08/2021;Un Sold;01/01/1970;6058;0;0;Krishna;5;0;Poor
PA99HD;APE;Texas;Plato;Prazo;Convertible;Black;Automatic;2;2;Electric;2017;10700;1339;250;01/10/2018;Un Sold;01/01/1970;9953;0;0;Hariom;1;0;Average
3CGDSS;Trivett;Tucson;Yodha;Tata;Truck;Gray;Manual;3;2;Diesel;2018;7700;1345;100;16/03/2016;Sold;04/05/2016;6548;6339;-3;Pavan;3;0;Excellent
Z68TIP;Automart;Chicago;Plato;Prazo;Convertible;Black;Manual;2;2;Electric;2019;10500;1353;250;09/05/2018;Un Sold;01/01/1970;8598;0;0;Vihaan;5;0;Good
0GRSKN;Olx;Texas;Thar;Mahindra;SUV;White;Manual;5;3;Electric;2021;9300;1354;130;16/10/2015;Un Sold;01/01/1970;8449;0;0;Anushka;3;0;Poor
N0B5E9;Carousell;Madison;Dzire;Maruti;Sedan;Red;Automatic;5;5;Diesel;2024;6600;1358;100;04/06/2020;Un Sold;01/01/1970;5473;0;0;Arjuna;1;0;Excellent
6ZUH8V;Skipper;North Carolina;Plato;Prazo;Convertible;Red;Automatic;2;2;Hybrid;2023;9600;1372;250;07/09/2017;Sold;01/07/2022;7960;7309;-8;Vishwajeet;2;0;Good
E97Y8S;Cars24;North Carolina;Kags;Renault;SUV;Black;Manual;7;5;Electric;2015;9900;1386;175;02/11/2023;Un Sold;01/01/1970;8495;0;0;Arjuna;3;0;Good
EH5BT4;Nufor;Florida;Thar;Mahindra;SUV;White;Manual;5;3;Hybrid;2016;9300;1394;130;03/07/2018;Un Sold;01/01/1970;7420;0;0;Shruthi;5;0;Excellent
HHJO27;Olx;Madison;Hilux;Toyota;Truck;White;Manual;4;2;Petrol;2024;7000;1397;200;04/03/2023;Sold;03/05/2023;5690;5192;-9;Preeti;2;0;Good
CSMIS1;Cars24;North Carolina;Thar;Mahindra;SUV;Black;Manual;5;3;Hybrid;2022;8700;1397;130;04/03/2015;Un Sold;01/01/1970;7859;0;0;Sweta;4;0;Average
0IGEP7;Marchi;San Jose;Kags;Renault;SUV;Black;Manual;7;5;Electric;2021;9300;1404;175;23/07/2023;Un Sold;01/01/1970;7764;0;0;Sweta;4;0;Good
FOXNRX;Trivett;California;Fortuner;Toyota;SUV;White;Automatic;8;5;Hybrid;2024;8500;1408;200;17/08/2021;Sold;23/07/2022;6890;7244;5;Shruthi;3;71;Excellent
XL6NQ3;Olx;California;Scorpio;Mahindra;SUV;Blue;Manual;5;5;Diesel;2015;8500;1458;120;08/12/2019;Un Sold;01/01/1970;6735;0;0;Sweta;5;0;Poor
7FCF6D;Motor;Tucson;Hilux;Toyota;Truck;Red;Automatic;4;2;Petrol;2018;7600;1468;200;09/06/2022;Un Sold;01/01/1970;6128;0;0;Shilpa;1;0;Average
D737N9;Zupps;North Carolina;Scorpio;Mahindra;SUV;Black;Automatic;5;5;Hybrid;2022;8700;1469;120;01/02/2020;Un Sold;01/01/1970;6940;0;0;Sweta;4;0;Poor
BO6U79;Carro;Columbus;Dzire;Maruti;Sedan;Black;Manual;5;5;Electric;2022;8200;1478;100;27/07/2019;Un Sold;01/01/1970;6558;0;0;Hariom;5;0;Excellent
3J6QUM;Trust;Columbus;Etriga;Maruti;Hatchback;Blue;Automatic;4;5;Electric;2021;7800;1487;103;28/03/2024;Sold;09/11/2024;7055;6672;-5;Supriya;4;0;Excellent
06X67G;Kamkar;Portland;i20;Hyundai;Hatchback;White;Automatic;4;5;Electric;2021;7800;1493;120;24/05/2016;Un Sold;01/01/1970;6409;0;0;Pranav;2;0;Excellent
5KXWKB;Olx;Denver;Hilux;Toyota;Truck;Black;Manual;4;2;Petrol;2017;7700;1504;200;08/06/2021;Un Sold;01/01/1970;6445;0;0;Anushka;1;0;Excellent
GEQG8N;Trust;Texas;Seltos;Kia;Hatchback;Blue;Automatic;5;5;Petrol;2017;6700;1527;150;21/04/2017;Sold;05/05/2019;5475;4592;-16;Vishwajeet;4;0;Good
278JHQ;Marchi;Philadelphia;Plato;Prazo;Convertible;Black;Automatic;2;2;Diesel;2017;9300;1527;250;19/05/2021;Un Sold;01/01/1970;7958;0;0;Supriya;3;0;Excellent
EMJY5Y;Carmix;Chicago;i20;Hyundai;Hatchback;Blue;Automatic;4;5;Diesel;2020;6500;1531;120;09/07/2019;Un Sold;01/01/1970;4765;0;0;Aditya;4;0;Excellent
IQWB06;Olx;Detroit;Yodha;Tata;Truck;Black;Manual;3;2;Petrol;2016;7800;1531;100;15/06/2022;Sold;25/03/2022;7171;7404;3;Arjuna;3;47;Good
2V1CFO;Kamkar;North Carolina;Seltos;Kia;Hatchback;Blue;Manual;5;5;Electric;2017;8200;1536;150;21/12/2017;Un Sold;01/01/1970;7165;0;0;Sweta;4;0;Poor
YBVNA6;Sobri;Chicago;Creta;Hyundai;Hatchback;Red;Manual;5;5;Diesel;2018;6700;1539;113;07/11/2016;Sold;07/06/2023;6195;7624;23;Supriya;1;286;Excellent
Q0J603;Oto;Texas;Fortuner;Toyota;SUV;Gray;Manual;8;5;Hybrid;2020;8900;1564;200;26/07/2020;Un Sold;01/01/1970;7767;0;0;Pavan;3;0;Average
QT8YBW;Knox;Detroit;i20;Hyundai;Hatchback;Blue;Manual;4;5;Hybrid;2018;7600;1566;120;17/01/2023;Un Sold;01/01/1970;6395;0;0;Aditya;1;0;Excellent
WPN1TL;Motor;Tennessee;i20;Hyundai;Hatchback;White;Manual;4;5;Electric;2015;8400;1587;120;04/03/2018;Un Sold;01/01/1970;7340;0;0;Karan;3;0;Excellent
KEZ6OZ;Automart;Detroit;Fortuner;Toyota;SUV;Blue;Manual;8;5;Diesel;2015;8500;1596;200;06/04/2019;Un Sold;01/01/1970;7771;0;0;Karan;5;0;Good
UKU522;Sobri;Chicago;Scorpio;Mahindra;SUV;Red;Manual;5;5;Electric;2017;9700;1597;120;28/04/2016;Un Sold;01/01/1970;8356;0;0;Vishwajeet;3;0;Good
G5T725;Carsome;Texas;Hilux;Toyota;Truck;Gray;Manual;4;2;Electric;2019;9000;1601;200;12/07/2020;Un Sold;01/01/1970;7440;0;0;Krishna;3;0;Average
F1USMY;Sobri;Columbus;Dzire;Maruti;Sedan;Blue;Manual;5;5;Diesel;2018;7200;1609;100;11/08/2018;Sold;28/07/2021;6064;4944;-18;Aditya;4;0;Good
D66Y1N;Zupps;Texas;Scorpio;Mahindra;SUV;Black;Manual;5;5;Diesel;2015;8500;1612;120;19/05/2016;Un Sold;01/01/1970;7542;0;0;Aarush;3;0;Good
Q8CA7T;Nufor;Florida;i20;Hyundai;Hatchback;Black;Manual;4;5;Diesel;2020;6500;1621;120;19/03/2015;Un Sold;01/01/1970;5924;0;0;Shruthi;4;0;Excellent
M9KQDZ;Carmudi;California;Seltos;Kia;Hatchback;Black;Manual;5;5;Petrol;2024;6000;1630;150;02/07/2017;Sold;26/04/2019;4594;3830;-17;Shruthi;2;0;Poor
OBA0AK;Carsome;New York;Etriga;Maruti;Hatchback;White;Manual;4;5;Electric;2019;8000;1633;103;30/05/2017;Un Sold;01/01/1970;7455;0;0;Aarush;1;0;Excellent
AA5DFU;Automart;Tennessee;i20;Hyundai;Hatchback;Black;Automatic;4;5;Electric;2023;7600;1658;120;27/03/2016;Un Sold;01/01/1970;6099;0;0;Aditya;3;0;Excellent
4Y5LQL;Oto;Columbus;Dzire;Maruti;Sedan;Gray;Manual;5;5;Diesel;2024;6600;1688;100;12/01/2016;Un Sold;01/01/1970;4739;0;0;Shiva;3;0;Good
IG8AQ4;Motor;San Jose;Swift;Maruti;Sedan;Blue;Automatic;5;4;Diesel;2015;7500;1726;115;10/11/2015;Un Sold;01/01/1970;5750;0;0;Shilpa;5;0;Good
Y6SSDX;Knox;Chicago;Fortuner;Toyota;SUV;Black;Manual;8;5;Diesel;2016;8400;1793;200;23/07/2022;Un Sold;01/01/1970;6431;0;0;Karan;3;0;Excellent
9UFX9R;Skipper;Columbus;Swift;Maruti;Sedan;Black;Manual;5;4;Electric;2024;8000;1803;115;04/06/2020;Un Sold;01/01/1970;7190;0;0;Arjuna;4;0;Poor
9BWK3R;Sobri;North Carolina;Etriga;Maruti;Hatchback;Black;Manual;4;5;Electric;2021;7800;1804;103;23/06/2022;Un Sold;01/01/1970;7208;0;0;Dhruv;4;0;Good
6C3SEG;Motor;Portland;Fortuner;Toyota;SUV;Red;Automatic;8;5;Diesel;2021;7900;1809;200;03/01/2015;Un Sold;01/01/1970;6486;0;0;Vihaan;5;0;Good
YUHZMH;Zupps;Florida;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Diesel;2017;6800;1814;103;17/05/2019;Un Sold;01/01/1970;5814;0;0;Shailaja;1;0;Average
J5TH77;Motor;Columbus;Dzire;Maruti;Sedan;Red;Automatic;5;5;Electric;2022;8200;1822;100;11/04/2015;Un Sold;01/01/1970;6380;0;0;Aarush;4;0;Excellent
M7F00T;Carmix;Tennessee;Swift;Maruti;Sedan;Gray;Automatic;5;4;Electric;2023;8100;1834;115;18/10/2020;Un Sold;01/01/1970;6358;0;0;Vihaan;2;0;Good
TM0R5E;Zupps;Florida;Swift;Maruti;Sedan;White;Automatic;5;4;Hybrid;2021;7800;1838;115;15/04/2024;Un Sold;01/01/1970;6178;0;0;Shilpa;5;0;Good
4K29YM;Kamkar;Oklahoma;Dzire;Maruti;Sedan;Gray;Manual;5;5;Hybrid;2016;8300;1839;100;04/01/2021;Un Sold;01/01/1970;6349;0;0;Shiva;3;0;Excellent
P7SR9V;Carmix;New York;Dzire;Maruti;Sedan;Black;Manual;5;5;Hybrid;2015;8400;1863;100;07/12/2016;Un Sold;01/01/1970;7064;0;0;Aditya;2;0;Good
APWVYY;Carro;Detroit;Dzire;Maruti;Sedan;Gray;Manual;5;5;Hybrid;2019;8000;1872;100;26/06/2021;Un Sold;01/01/1970;6130;0;0;Aditya;2;0;Poor
MBXH3F;APE;Portland;Fortuner;Toyota;SUV;White;Manual;8;5;Electric;2016;9800;1879;200;03/08/2020;Un Sold;01/01/1970;8080;0;0;Swathi;3;0;Poor
G33MLQ;Nufor;Tennessee;Seltos;Kia;Hatchback;Red;Automatic;5;5;Diesel;2020;6500;1882;150;30/01/2015;Sold;01/10/2016;5324;6242;17;Aditya;3;184;Poor
H7YWRR;Carmudi;Detroit;Swift;Maruti;Sedan;White;Manual;5;4;Diesel;2017;7300;1883;115;19/12/2021;Sold;02/12/2024;5750;5888;2;Krishna;2;28;Excellent
I7SKCI;Carsome;Denver;i20;Hyundai;Hatchback;Black;Automatic;4;5;Hybrid;2019;7500;1897;120;13/09/2018;Un Sold;01/01/1970;6789;0;0;Arjuna;5;0;Excellent
NZ3OAQ;APE;North Carolina;Seltos;Kia;Hatchback;Red;Automatic;5;5;Hybrid;2021;7300;1899;150;26/06/2019;Un Sold;01/01/1970;5754;0;0;Ram;4;0;Excellent
PGAAZT;Kamkar;New York;Creta;Hyundai;Hatchback;Gray;Manual;5;5;Electric;2016;8300;1911;113;16/08/2022;Un Sold;01/01/1970;7626;0;0;Hariom;1;0;Good
825DCG;Carousell;Chicago;Hilux;Toyota;Truck;Red;Manual;4;2;Petrol;2019;7500;1920;200;23/11/2018;Un Sold;01/01/1970;5652;0;0;Aditya;2;0;Excellent
6FLXW4;Carmix;Denver;Fortuner;Toyota;SUV;Red;Manual;8;5;Petrol;2015;8400;1930;200;12/05/2023;Un Sold;01/01/1970;7644;0;0;Narayan;3;0;Good
JSOKDP;Carousell;Chicago;Dzire;Maruti;Sedan;Gray;Automatic;5;5;Hybrid;2020;7900;1933;100;18/10/2023;Sold;10/06/2023;6673;8134;22;Aditya;3;292;Average
IQ18PT;Trust;North Carolina;Kags;Renault;SUV;Black;Automatic;7;5;Electric;2017;9700;1948;175;23/08/2017;Sold;28/03/2019;8944;10080;13;Krishna;5;227;Good
638XCF;Carsome;Chicago;Thar;Mahindra;SUV;Blue;Automatic;5;3;Hybrid;2020;8900;1950;130;02/03/2023;Un Sold;01/01/1970;8196;0;0;Bhavani;2;0;Good
IVFVIE;Carsome;California;Hilux;Toyota;Truck;Black;Automatic;4;2;Electric;2023;8600;1958;200;18/04/2018;Sold;17/05/2020;7639;6774;-11;Pavan;3;0;Excellent
YKPRNT;Sobri;Detroit;Hilux;Toyota;Truck;Blue;Manual;4;2;Electric;2019;9000;1963;200;04/04/2017;Un Sold;01/01/1970;7960;0;0;Shiva;4;0;Excellent
8VD891;Carmix;Texas;Swift;Maruti;Sedan;White;Automatic;5;4;Diesel;2018;7200;1966;115;22/12/2020;Un Sold;01/01/1970;6447;0;0;Preeti;5;0;Poor
YURHJB;Carsome;San Jose;Seltos;Kia;Hatchback;Red;Automatic;5;5;Electric;2024;7500;1970;150;31/10/2023;Sold;18/02/2024;6589;5450;-17;Supriya;2;0;Good
3XYYGF;Automart;Portland;Etriga;Maruti;Hatchback;Red;Automatic;4;5;Petrol;2018;6600;1973;103;01/05/2022;Un Sold;01/01/1970;5997;0;0;Dhruv;5;0;Good
PGMNO3;Carro;New York;Kags;Renault;SUV;Blue;Automatic;7;5;Diesel;2022;7800;1984;175;27/01/2017;Un Sold;01/01/1970;6717;0;0;Anushka;5;0;Good
C6K2XS;Cars24;Columbus;Etriga;Maruti;Hatchback;White;Manual;4;5;Electric;2022;7700;2003;103;20/12/2018;Un Sold;01/01/1970;6386;0;0;Swapna;1;0;Good
PV08XK;Cars24;Utah;Swift;Maruti;Sedan;Red;Manual;5;4;Electric;2018;8600;2016;115;30/07/2024;Un Sold;01/01/1970;7836;0;0;Vihaan;3;0;Excellent
HBUBM9;Carmix;Florida;Thar;Mahindra;SUV;Blue;Automatic;5;3;Petrol;2023;7600;2022;130;15/12/2016;Un Sold;01/01/1970;6922;0;0;Preeti;1;0;Excellent
6UQMIQ;Oto;Tucson;Fortuner;Toyota;SUV;Black;Manual;8;5;Petrol;2021;7800;2024;200;16/11/2019;Sold;24/09/2020;7249;6017;-17;Shailaja;4;0;Good
774YYU;Skipper;Florida;Etriga;Maruti;Hatchback;Black;Manual;4;5;Diesel;2024;6100;2045;103;04/11/2024;Un Sold;01/01/1970;4858;0;0;Karan;2;0;Good
J67MGA;Motor;New York;Kags;Renault;SUV;Red;Automatic;7;5;Diesel;2016;8400;2050;175;21/08/2023;Un Sold;01/01/1970;7886;0;0;Bhavani;5;0;Good
9ATVPU;Nufor;California;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Diesel;2019;6600;2053;113;01/02/2023;Un Sold;01/01/1970;5324;0;0;Vihaan;4;0;Average
QVFQA4;Carmudi;California;Swift;Maruti;Sedan;Gray;Manual;5;4;Electric;2015;8900;2071;115;29/09/2023;Un Sold;01/01/1970;7322;0;0;Dhruv;3;0;Good
3BUGOQ;Motor;Texas;Scorpio;Mahindra;SUV;White;Manual;5;5;Diesel;2018;8200;2077;120;10/07/2020;Un Sold;01/01/1970;7184;0;0;Sai;1;0;Excellent
561ZQ8;Automart;North Carolina;Hilux;Toyota;Truck;Gray;Manual;4;2;Diesel;2023;7200;2087;200;20/01/2020;Sold;23/07/2022;5891;6466;10;Swathi;4;115;Average
TGO91Y;Automart;San Jose;Swift;Maruti;Sedan;White;Automatic;5;4;Hybrid;2015;8400;2088;115;30/08/2022;Un Sold;01/01/1970;7338;0;0;Pranav;3;0;Excellent
83THTL;Sobri;California;Kags;Renault;SUV;White;Manual;7;5;Petrol;2023;7600;2091;175;17/06/2020;Sold;13/05/2020;5858;6299;8;Aditya;2;88;Excellent
N7L8RJ;Carousell;Tennessee;Swift;Maruti;Sedan;Red;Automatic;5;4;Hybrid;2023;7600;2095;115;06/06/2015;Un Sold;01/01/1970;6646;0;0;Sweta;3;0;Excellent
EM1UNY;Cars24;Philadelphia;Fortuner;Toyota;SUV;Black;Manual;8;5;Electric;2022;9200;2095;200;08/02/2023;Un Sold;01/01/1970;7373;0;0;Krishna;5;0;Good
P51IC4;Carsome;Madison;Hilux;Toyota;Truck;White;Manual;4;2;Diesel;2019;7600;2098;200;24/09/2018;Sold;25/12/2018;6358;7640;20;Shiva;1;256;Average
WXOC7W;Skipper;Madison;Dzire;Maruti;Sedan;Red;Manual;5;5;Diesel;2024;6600;2109;100;25/08/2024;Un Sold;01/01/1970;5620;0;0;Vihaan;1;0;Poor
F06UWS;Skipper;Texas;Scorpio;Mahindra;SUV;Red;Automatic;5;5;Diesel;2018;8200;2137;120;08/06/2021;Un Sold;01/01/1970;7296;0;0;Sai;1;0;Excellent
3CJ0Z7;Nufor;North Carolina;Fortuner;Toyota;SUV;Gray;Manual;8;5;Petrol;2022;7700;2149;200;02/02/2023;Sold;06/05/2023;6540;7672;17;Shailaja;4;226;Excellent
7TIVTX;Nufor;Denver;Fortuner;Toyota;SUV;Red;Automatic;8;5;Diesel;2022;7800;2157;200;11/09/2023;Un Sold;01/01/1970;6762;0;0;Vishwajeet;5;0;Good
MQWOE5;Carousell;New York;Swift;Maruti;Sedan;Gray;Manual;5;4;Petrol;2017;7200;2165;115;16/04/2018;Un Sold;01/01/1970;6692;0;0;Vihaan;4;0;Average
X9T9ST;Carsome;Columbus;Swift;Maruti;Sedan;Black;Manual;5;4;Diesel;2024;6600;2167;115;09/12/2023;Un Sold;01/01/1970;6051;0;0;Arjuna;3;0;Excellent
783MAM;Carsome;North Carolina;Swift;Maruti;Sedan;Black;Automatic;5;4;Petrol;2018;7100;2185;115;01/03/2019;Un Sold;01/01/1970;5261;0;0;Swapna;2;0;Excellent
WVIUR0;Ahg;Denver;Swift;Maruti;Sedan;Black;Manual;5;4;Hybrid;2016;8300;2212;115;22/05/2023;Un Sold;01/01/1970;7499;0;0;Shruthi;2;0;Excellent
GHSOCR;Trivett;Oklahoma;Scorpio;Mahindra;SUV;Black;Automatic;5;5;Hybrid;2021;8800;2217;120;06/07/2023;Un Sold;01/01/1970;7945;0;0;Aditya;3;0;Poor
AM2WG0;Carmudi;Columbus;Fortuner;Toyota;SUV;Red;Automatic;8;5;Petrol;2024;7500;2224;200;18/01/2015;Un Sold;01/01/1970;6618;0;0;Karan;2;0;Average
UKDFOB;Automart;Tucson;Dzire;Maruti;Sedan;Red;Automatic;5;5;Diesel;2022;6800;2228;100;17/02/2020;Sold;27/02/2021;5370;4408;-18;Hariom;4;0;Excellent
